Date_time: ,mode_id: 
45:00.0,111111111111111000
50:00.0,************000000
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,111111111111111000
10:00.0,111010110101000000
15:00.0,111111111111111000
20:00.0,111010110101000000
25:00.0,111111111111******
30:00.0,111010110101000000
35:00.0,111111111111111000
40:00.0,111010110101000000
45:00.0,111111111111******
50:00.0,111010110101000000
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,111111111111111000
10:00.0,111010110101000000
15:00.0,111111111111111000
20:00.0,111010110101000000
25:00.0,111111111111111000
30:00.0,111010110101000000
35:00.0,111111111111111000
40:00.0,111010110101000000
45:00.0,111111111111111000
50:00.0,111010110101000000
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,111111111111111000
10:00.0,111010110101000000
15:00.0,111111111111111000
20:00.0,111010110101000000
25:00.0,111111111111111000
30:00.0,111010110101000000
35:00.0,111111111111111000
40:00.0,111010110101000000
45:00.0,111111111111111000
50:00.0,111010110101******
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,************111111
10:00.0,111010110101000000
15:00.0,111111111111111000
20:00.0,111010110101000000
25:00.0,111111111111111000
30:00.0,111010110101000000
35:00.0,111111111111111000
40:00.0,111010110101000000
45:00.0,111111111111111000
50:00.0,111010110101000000
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,111111111111111000
10:00.0,111010110101000000
15:00.0,111111111111******
20:00.0,111010110101000000
25:00.0,111111111111111000
30:00.0,111010110101000000
35:00.0,111111111111111000
40:00.0,111010110101000000
45:00.0,111111111111111000
50:00.0,111010110101000000
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,111111111111111000
10:00.0,111010110101000000
15:00.0,111111111111111000
20:00.0,111010110101000000
25:00.0,111111111111111000
30:00.0,111010110101000000
35:00.0,111111111111111000
40:00.0,111010110101000000
45:00.0,111111111111111000
50:00.0,111010110101000000
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,111111111111111000
10:00.0,111010110101000000
15:00.0,111111111111111000
20:00.0,111010110101000000
25:00.0,111111111111******
30:00.0,111010110101000000
35:00.0,111111111111111000
40:00.0,111010110101000000
45:00.0,111111111111111000
50:00.0,111010110101000000
55:00.0,111111111111111000
00:00.0,111010110101000000
05:00.0,111111111111111000
10:00.0,111010110101000000
15:00.0,111111111111111000
20:00.0,111010110101******
25:00.0,111111111111111000
30:00.0,111010110101000000
35:00.0,111111111111111000
